===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               65536
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               262144
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	432:	10014 D	  10010 D	  1000c D	  10013 D	  
Set	433:	10009  	  10007  	  10014 D	  10010 D	  
Set	434:	10009  	  10014 D	  10010 D	  1000c D	  
Set	435:	10014 D	  10010 D	  1000c D	  10013 D	  
Set	436:	10014 D	  10010 D	  1000c D	  10013 D	  
Set	437:	10014 D	  10010 D	  1000c D	  10013 D	  
Set	438:	10010 D	  10014 D	  1000c D	  10013 D	  
Set	439:	1000d D	  1000b D	  10014 D	  10010 D	  
Set	440:	1000b D	  1000d D	  10014 D	  10010 D	  
Set	441:	1000b D	  10014 D	  10010 D	  1000c D	  
Set	442:	10014 D	  10010 D	  1000c D	  10011  	  
Set	443:	10014 D	  1000b D	  10010 D	  1000c D	  
