===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               131072
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               524288
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	331:	8008 D	  8006 D	  0  	  0  	  
Set	332:	8008 D	  8006 D	  8000  	  0  	  
Set	333:	8008 D	  1bf  	  0  	  0  	  
Set	334:	8008 D	  8006 D	  0  	  0  	  
Set	335:	8008 D	  0  	  0  	  0  	  
Set	336:	8008 D	  0  	  0  	  0  	  
Set	337:	8008 D	  0  	  0  	  0  	  
Set	338:	8008 D	  0  	  0  	  0  	  
Set	339:	8008 D	  8006 D	  0  	  0  	  
Set	340:	8008 D	  0  	  0  	  0  	  
Set	341:	8008 D	  0  	  0  	  0  	  
Set	342:	8008 D	  0  	  0  	  0  	  
Set	343:	8008 D	  0  	  0  	  0  	  
Set	344:	8008 D	  0  	  0  	  0  	  
Set	345:	8008 D	  8006 D	  0  	  0  	  
Set	346:	8008 D	  0  	  0  	  0  	  
Set	347:	8008 D	  8006 D	  0  	  0  	  
Set	348:	8008 D	  0  	  0  	  0  	  
Set	349:	8008 D	  0  	  0  	  0  	  
Set	350:	8008 D	  846a  	  0  	  0  	  
Set	351:	8008 D	  846a  	  0  	  0  	  
Set	352:	8008 D	  0  	  0  	  0  	  
Set	353:	8008 D	  0  	  0  	  0  	  
Set	354:	8008 D	  0  	  0  	  0  	  
Set	355:	8008 D	  8006 D	  0  	  0  	  
Set	356:	8008 D	  0  	  0  	  0  	  
Set	357:	8008 D	  8006 D	  8004 D	  0  	  
Set	358:	8008 D	  8004 D	  0  	  0  	  
Set	359:	8008 D	  0  	  0  	  0  	  
Set	360:	8008 D	  8006 D	  0  	  0  	  
Set	361:	8008 D	  8006 D	  0  	  0  	  
Set	362:	8008 D	  0  	  0  	  0  	  
Set	363:	8008 D	  0  	  0  	  0  	  
Set	364:	8008 D	  8006 D	  0  	  0  	  
Set	365:	8008 D	  0  	  0  	  0  	  
Set	366:	8008 D	  8006 D	  0  	  0  	  
Set	367:	8008 D	  8004 D	  0  	  0  	  
Set	368:	800a D	  8008 D	  0  	  0  	  
Set	369:	800a D	  8008 D	  8006 D	  0  	  
Set	370:	800a D	  8008 D	  8006 D	  8004 D	  
Set	371:	800a D	  8008 D	  8004 D	  0  	  
Set	372:	800a D	  8008 D	  8006 D	  8004 D	  
Set	373:	800a D	  8008 D	  0  	  0  	  
Set	374:	800a D	  8008 D	  0  	  0  	  
Set	375:	800a D	  8008 D	  0  	  0  	  
Set	376:	800a D	  8008 D	  8006 D	  0  	  
Set	377:	800a D	  8008 D	  8006 D	  0  	  
Set	378:	800a D	  8008 D	  0  	  0  	  
Set	379:	800a D	  8008 D	  0  	  0  	  
Set	380:	800a D	  8008 D	  0  	  0  	  
Set	381:	800a D	  8008 D	  1bf  	  0  	  
Set	382:	800a D	  8008 D	  0  	  0  	  
Set	383:	8006 D	  800a D	  8008 D	  0  	  
Set	384:	8006 D	  800a D	  8008 D	  0  	  
Set	385:	8006 D	  800a D	  8008 D	  0  	  
Set	386:	8006 D	  800a D	  8008 D	  0  	  
Set	387:	800a D	  8008 D	  0  	  0  	  
Set	388:	800a D	  8008 D	  0  	  0  	  
Set	389:	800a D	  8008 D	  0  	  0  	  
Set	390:	800a D	  8008 D	  0  	  0  	  
Set	391:	800a D	  8008 D	  0  	  0  	  
Set	392:	800a D	  8008 D	  0  	  0  	  
Set	393:	800a D	  8008 D	  0  	  0  	  
Set	394:	800a D	  8008 D	  0  	  0  	  
Set	395:	800a D	  8008 D	  8006 D	  1bf  	  
Set	396:	800a D	  8008 D	  8006 D	  0  	  
Set	397:	800a D	  8008 D	  8006  	  0  	  
Set	398:	800a D	  8008 D	  8006 D	  1bf  	  
Set	399:	800a D	  8008 D	  8006 D	  1bf  	  
Set	400:	800a D	  8008 D	  8006 D	  0  	  
Set	401:	800a D	  8008 D	  8006 D	  0  	  
Set	402:	800a D	  8008 D	  8006 D	  0  	  
Set	403:	800a D	  8008 D	  8006 D	  0  	  
Set	404:	800a D	  8008 D	  8006 D	  0  	  
Set	405:	800a D	  8008 D	  8006 D	  0  	  
Set	406:	800a D	  8008 D	  8006 D	  0  	  
