===== Simulator configuration =====
BLOCKSIZE:             128
L1_SIZE:               32768
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               524288
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	0:	2001b D	  2002b D	  2002a D	  20018 D	  
Set	179:	4005  	  4003  	  4235  	  0  	  0  	  0  	  0  	  0  	  
Set	180:	4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	181:	4005  	  4003 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	182:	4005  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	183:	4005 D	  4003 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	184:	4003 D	  4005  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	185:	4005  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	186:	4005  	  4003  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	187:	4005  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	188:	4005  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	189:	4005 D	  4003  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	190:	4005  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	191:	4005  	  4003  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	192:	4003  	  4005  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	193:	4005  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	194:	4005  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	195:	4005  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	196:	4005  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	197:	4005  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	198:	4003 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	199:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	200:	4013  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
