===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               4096
L1_ASSOC:              4
L1_PREF_N:             4
L1_PREF_M:             2
L2_SIZE:               65536
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	213:	20028  	  2002a D	  2001a D	  2001b  	  2001f  	  20029 D	  20017 D	  20021 D	  
Set	214:	2001a D	  20028  	  2002a D	  20029 D	  2001f  	  20017 D	  20021 D	  20019 D	  
Set	215:	20028  	  2001a  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	216:	20028 D	  2001a  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	217:	2001f D	  20028  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	218:	20028  	  2001f  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	219:	20018 D	  20028  	  2002a D	  2001f  	  20029 D	  20017 D	  20021 D	  20019 D	  
Set	220:	20018 D	  20028  	  2001a D	  2002a D	  20029 D	  2001b D	  2001f D	  20017 D	  
Set	221:	20028  	  20018  	  2001a  	  2001b D	  2002a D	  20029 D	  2001f D	  20017 D	  
Set	222:	2001f D	  20028  	  20018  	  2001a  	  2001b  	  2002a D	  20029 D	  20017 D	  
Set	223:	20018  	  2001a D	  20028  	  2001f  	  2002a D	  2001b  	  20029 D	  20017 D	  
Set	224:	20018  	  20028  	  2002a D	  2001f  	  2001a  	  20029 D	  20017 D	  20021 D	  
Set	225:	20018  	  20028  	  2001a D	  2002a D	  20029 D	  20019 D	  20017 D	  20021 D	  
