===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               2048
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               131072
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	134:	10015 D	  1000c D	  1000f D	  10014 D	  10001  	  108d5  	  0  	  0  	  
Set	135:	10015 D	  1000c D	  1000f D	  10014 D	  108d5  	  0  	  0  	  0  	  
Set	136:	10015 D	  1000c D	  1000f D	  10014 D	  108d5  	  0  	  0  	  0  	  
Set	137:	10015 D	  1000c D	  1000f D	  10014 D	  37f  	  108d5  	  0  	  0  	  
Set	138:	10015 D	  1000c D	  1000f D	  10014 D	  1ec0d D	  108d6  	  108d5 D	  0  	  
Set	139:	10015 D	  1000c D	  1000f D	  10014 D	  1ec0d D	  108d5  	  0  	  0  	  
Set	140:	10015 D	  1000c D	  1000f D	  10014 D	  1ec0d D	  108d5  	  0  	  0  	  
Set	141:	10015 D	  1000c D	  1000f D	  10014 D	  108d5  	  0  	  0  	  0  	  
Set	142:	1000d D	  10015 D	  1000c D	  1000f D	  10014 D	  10013  	  37f  	  108d5 D	  
Set	143:	10015 D	  1000c D	  1000f D	  10014 D	  10013  	  108d5 D	  0  	  0  	  
Set	144:	10015 D	  1000c D	  1000f D	  10014 D	  1ec0d D	  0  	  0  	  0  	  
Set	145:	10015 D	  1000c D	  1000f D	  10014 D	  0  	  0  	  0  	  0  	  
Set	146:	1000a  	  10015 D	  1000c D	  1000f D	  10014 D	  1000d D	  37e  	  1ec0d D	  
Set	147:	10015 D	  1000c D	  1000f D	  10014 D	  1000d  	  1ec0d D	  108d5  	  0  	  
Set	148:	1000a  	  1000b D	  10015 D	  1000c D	  1000f D	  10014 D	  10013  	  108d5  	  
Set	149:	10000  	  10015 D	  1000c D	  1000f D	  10014 D	  1000b D	  10013 D	  108d5  	  
Set	150:	10000  	  10014 D	  10015 D	  1000c D	  1000f D	  10013  	  108d5  	  108eb  	  
Set	151:	10000  	  1000a  	  10014 D	  10015 D	  1000c D	  1000f D	  1000d  	  1000b D	  
Set	152:	10000  	  1000a  	  10014 D	  10015 D	  1000c D	  1000f D	  10013  	  108d5  	  
Set	153:	10000  	  10014 D	  10015 D	  1000c D	  1000f D	  10013  	  108d5  	  0  	  
Set	154:	10000  	  10014 D	  10015 D	  1000c D	  1000f D	  10013  	  108d5  	  0  	  
Set	155:	10000  	  10014 D	  10015 D	  1000c D	  1000f D	  108d5  	  0  	  0  	  
Set	156:	1000c D	  10014 D	  10015 D	  1000f D	  108d5 D	  0  	  0  	  0  	  
Set	157:	10014 D	  10015 D	  1000f D	  108d5  	  0  	  0  	  0  	  0  	  
Set	158:	10014 D	  10015 D	  1000f D	  1000e D	  108d5  	  0  	  0  	  0  	  
Set	159:	1000d D	  10014 D	  10015 D	  1000f D	  108d5  	  0  	  0  	  0  	  
Set	160:	1000c  	  10014 D	  10015 D	  1000f D	  108d5  	  0  	  0  	  0  	  
Set	161:	10014 D	  10015 D	  1000f D	  0  	  0  	  0  	  0  	  0  	  
Set	162:	1000c  	  10014 D	  10015 D	  1000f D	  108d5  	  0  	  0  	  0  	  
Set	163:	1000c  	  10014 D	  10015 D	  1000f D	  108d5 D	  0  	  0  	  0  	  
Set	164:	1000c  	  10014 D	  10015 D	  1000e D	  1000f D	  108d5  	  0  	  0  	  
Set	165:	1000c  	  10014 D	  10015 D	  1000f D	  108d5 D	  0  	  0  	  0  	  
