===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               2048
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               32768
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	92:	40051 D	  40031 D	  40035 D	  40055 D	  40037 D	  40036 D	  40054 D	  40053 D	  
Set	93:	40051  	  40031  	  4003e D	  40037 D	  40055 D	  40036 D	  40054 D	  40053 D	  
Set	94:	40051  	  40031  	  40035 D	  4003f D	  4003e D	  40055 D	  40054 D	  40053 D	  
Set	95:	40051 D	  40031  	  40035 D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  
Set	96:	40051  	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	97:	40051 D	  40055 D	  40053 D	  40033 D	  40035 D	  40054 D	  40030 D	  4002f D	  
Set	98:	40051 D	  40055 D	  40053 D	  40054 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	99:	40051  	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	100:	40051 D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	101:	40051 D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	102:	40055 D	  4003f D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	103:	4003e D	  40055 D	  40054 D	  4003f D	  40053 D	  40030 D	  4002f D	  40043 D	  
Set	104:	40055 D	  4003f D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	105:	40054 D	  40055 D	  40053 D	  40033 D	  4003f D	  40030 D	  4002f D	  40043 D	  
Set	106:	40035 D	  40054 D	  40055 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	107:	40054 D	  40055 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  40034 D	  
Set	108:	40054 D	  40055 D	  4003f D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	109:	4003f D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	110:	40055 D	  40036 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	111:	40055 D	  40036 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	112:	40039  	  40055 D	  40054 D	  40053 D	  40052 D	  40030 D	  4002f D	  40043 D	  
Set	113:	40055 D	  40053 D	  40036 D	  40052 D	  40054 D	  40030 D	  4002f D	  40043 D	  
Set	114:	4003e D	  40055 D	  40053 D	  40052 D	  40054 D	  40030 D	  4002f D	  40043 D	  
