===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               16384
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               262144
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	81:	8006 D	  800a D	  8476 D	  0  	  0  	  0  	  0  	  0  	  
Set	82:	8006 D	  800a D	  8476 D	  0  	  0  	  0  	  0  	  0  	  
Set	83:	8006 D	  800a D	  8476 D	  1bf  	  0  	  0  	  0  	  0  	  
Set	84:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	85:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	86:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	87:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	88:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	89:	8006 D	  800a D	  8027 D	  0  	  0  	  0  	  0  	  0  	  
Set	90:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	91:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	92:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	93:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	94:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	95:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	96:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	97:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	98:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	99:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	100:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	101:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	102:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	103:	8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	104:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	105:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	106:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	107:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	108:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	109:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	110:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	111:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	112:	8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	113:	8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	114:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	115:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
